T1,T2,T3,W1,W2,W3,TCOMI,TCOMO,POUT,PIN,CONIN,CONOUT,OUTCONO,EVPOUT,WULIAOT,ZKD,ZL,YSJDL,PZFKD,ZKBDL,EVPINT,Time_Stamp
22.00651169,22.72537994,23.46686172,54.12786102,53.44967651,53.72547531,22.79999924,22.79999924,4.720137596,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102342.3125,7.310876846,-0.003390903,0.0,0.002034542,23.0,2026-05-17 15:36:13
22.033638,22.73894501,23.47138214,54.06004333,53.45420074,53.72547531,22.79999924,22.79999924,4.720137596,4.701401711,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102512.7656,7.762998581,-0.004069084,0.0,0.002712723,23.0,2026-05-17 15:36:14
22.02911377,22.72990417,23.46686172,54.14142609,53.47680283,53.69382477,22.89999962,22.79999924,4.717424393,4.701401711,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102427.4531,7.310876846,-0.003390903,0.0,0.002712723,23.0,2026-05-17 15:36:15
22.02007294,22.72990417,23.46686172,54.12786102,53.47680283,53.6802597,22.79999924,22.79999924,4.720137596,4.701401711,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102427.4531,7.536937714,-0.004747265,0.0,0.000678181,23.0,2026-05-17 15:36:16
22.033638,22.72085953,23.47138214,54.15951157,53.48132706,53.69834137,22.79999924,22.79999924,4.717424393,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.536937714,-0.003390903,0.0,0.003390903,23.0,2026-05-17 15:36:17
22.01555252,22.72990417,23.45781708,54.10525131,53.48584747,53.68478394,22.79999924,22.79999924,4.717424393,4.700696468,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102256.9453,7.310876846,-0.002712723,0.0,0.002712723,23.0,2026-05-17 15:36:18
22.02007294,22.72537994,23.48042297,54.13690186,53.40898514,53.68930054,22.89999962,22.79999924,4.717424393,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.310876846,-0.002712723,0.0,0.000678181,23.0,2026-05-17 15:36:19
22.03815842,22.73442459,23.47590256,54.13237762,53.42255402,53.69834137,22.89999962,22.79999924,4.718781471,4.699285507,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102086.625,7.310876846,-0.001356361,0.0,0.000678181,23.0,2026-05-17 15:36:20
22.01555252,22.72537994,23.46233749,54.13237762,53.42707062,53.68478394,22.79999924,22.79999924,4.720137596,4.701048851,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102256.9453,7.536937714,-0.004747265,0.0,0.000678181,23.0,2026-05-17 15:36:21
22.05172348,22.75703049,23.48494339,54.13237762,53.50845337,53.68930054,22.89999962,22.79999924,4.713355541,4.700343609,25.20000076,23.0,22.70000076,22.89999962,23.89999962,102171.8438,7.762998581,-0.002034542,0.0,0.000678181,23.0,2026-05-17 15:36:22
